facility_id,facility_name,city,facility_type,total_beds
F00104,Healthcare Facility 104,Bhopal,Hospital,368
F00105,Healthcare Facility 105,Delhi,Specialty Center,146
F00106,Healthcare Facility 106,Jaipur,Clinic,265
F00107,Healthcare Facility 107,Agra,Hospital,331
F00108,Healthcare Facility 108,Morena,Diagnostic Center,253
F00109,Healthcare Facility 109,Jhansi,Clinic,174
F00110,Healthcare Facility 110,Jaipur,Diagnostic Center,92
F00111,Healthcare Facility 111,Gwalior,Clinic,438
F00112,Healthcare Facility 112,Jhansi,Clinic,458
F00113,Healthcare Facility 113,Delhi,Hospital,156
F00114,Healthcare Facility 114,Morena,Hospital,293
F00115,Healthcare Facility 115,Delhi,Specialty Center,63
F00116,Healthcare Facility 116,Morena,Clinic,266
F00117,Healthcare Facility 117,Indore,Clinic,168
F00118,Healthcare Facility 118,Gwalior,Hospital,75
F00119,Healthcare Facility 119,Bhopal,Diagnostic Center,195
F00120,Healthcare Facility 120,Gwalior,Specialty Center,375
F00121,Healthcare Facility 121,Agra,Clinic,276
F00122,Healthcare Facility 122,Delhi,Hospital,430
F00123,Healthcare Facility 123,Bhopal,Clinic,320
F00124,Healthcare Facility 124,Delhi,Hospital,82
F00125,Healthcare Facility 125,Jaipur,Specialty Center,333
F00126,Healthcare Facility 126,Morena,Diagnostic Center,443
F00127,Healthcare Facility 127,Agra,Clinic,82
F00128,Healthcare Facility 128,Agra,Clinic,313
F00129,Healthcare Facility 129,Delhi,Specialty Center,48
F00130,Healthcare Facility 130,Indore,Diagnostic Center,59
F00131,Healthcare Facility 131,Agra,Clinic,166
F00132,Healthcare Facility 132,Jhansi,Specialty Center,107
F00133,Healthcare Facility 133,Delhi,Clinic,75
F00134,Healthcare Facility 134,Morena,Clinic,319
F00135,Healthcare Facility 135,Morena,Specialty Center,212
F00136,Healthcare Facility 136,Delhi,Specialty Center,119
F00137,Healthcare Facility 137,Gwalior,Hospital,234
F00138,Healthcare Facility 138,Gwalior,Hospital,160
F00139,Healthcare Facility 139,Morena,Clinic,433
F00140,Healthcare Facility 140,Bhopal,Specialty Center,68
F00141,Healthcare Facility 141,Jhansi,Diagnostic Center,134
F00142,Healthcare Facility 142,Gwalior,Diagnostic Center,248
F00143,Healthcare Facility 143,Delhi,Clinic,271
F00144,Healthcare Facility 144,Morena,Hospital,94
F00145,Healthcare Facility 145,Agra,Specialty Center,210
F00146,Healthcare Facility 146,Agra,Specialty Center,218
F00147,Healthcare Facility 147,Indore,Hospital,182
F00148,Healthcare Facility 148,Jhansi,Specialty Center,158
F00149,Healthcare Facility 149,Gwalior,Clinic,68
F00150,Healthcare Facility 150,Bhopal,Specialty Center,382
F00151,Healthcare Facility 151,Jaipur,Specialty Center,386
F00152,Healthcare Facility 152,Gwalior,Hospital,134
F00153,Healthcare Facility 153,Bhopal,Hospital,187
F00154,Healthcare Facility 154,Gwalior,Diagnostic Center,296
F00155,Healthcare Facility 155,Agra,Clinic,66
F00156,Healthcare Facility 156,Bhopal,Hospital,278
F00157,Healthcare Facility 157,Agra,Hospital,433
F00158,Healthcare Facility 158,Jhansi,Hospital,235
F00159,Healthcare Facility 159,Indore,Specialty Center,249
F00160,Healthcare Facility 160,Delhi,Clinic,146
F00161,Healthcare Facility 161,Delhi,Clinic,342
F00162,Healthcare Facility 162,Morena,Specialty Center,337
F00163,Healthcare Facility 163,Agra,Specialty Center,440
F00164,Healthcare Facility 164,Agra,Hospital,244
F00165,Healthcare Facility 165,Indore,Diagnostic Center,169
F00166,Healthcare Facility 166,Morena,Diagnostic Center,306
F00167,Healthcare Facility 167,Jhansi,Clinic,65
F00168,Healthcare Facility 168,Delhi,Diagnostic Center,479
F00169,Healthcare Facility 169,Delhi,Hospital,320
F00170,Healthcare Facility 170,Bhopal,Specialty Center,33
F00171,Healthcare Facility 171,Bhopal,Clinic,140
F00172,Healthcare Facility 172,Jaipur,Clinic,415
F00173,Healthcare Facility 173,Indore,Specialty Center,394
F00174,Healthcare Facility 174,Delhi,Diagnostic Center,210
F00175,Healthcare Facility 175,Jaipur,Clinic,494
F00176,Healthcare Facility 176,Gwalior,Specialty Center,352
F00177,Healthcare Facility 177,Agra,Specialty Center,363
F00178,Healthcare Facility 178,Bhopal,Diagnostic Center,185
F00179,Healthcare Facility 179,Gwalior,Diagnostic Center,136
F00180,Healthcare Facility 180,Bhopal,Hospital,450
F00181,Healthcare Facility 181,Morena,Diagnostic Center,143
F00182,Healthcare Facility 182,Agra,Diagnostic Center,73
F00183,Healthcare Facility 183,Jaipur,Specialty Center,458
F00184,Healthcare Facility 184,Jhansi,Clinic,323
F00185,Healthcare Facility 185,Jaipur,Specialty Center,476
F00186,Healthcare Facility 186,Jhansi,Hospital,475
F00187,Healthcare Facility 187,Jhansi,Specialty Center,376
F00188,Healthcare Facility 188,Bhopal,Hospital,290
F00189,Healthcare Facility 189,Delhi,Diagnostic Center,218
F00190,Healthcare Facility 190,Indore,Clinic,235
F00191,Healthcare Facility 191,Jaipur,Clinic,132
F00192,Healthcare Facility 192,Morena,Specialty Center,35
F00193,Healthcare Facility 193,Morena,Clinic,235
F00194,Healthcare Facility 194,Delhi,Hospital,446
F00195,Healthcare Facility 195,Morena,Hospital,154
F00196,Healthcare Facility 196,Indore,Diagnostic Center,62
F00197,Healthcare Facility 197,Agra,Specialty Center,271
F00198,Healthcare Facility 198,Bhopal,Diagnostic Center,303
F00199,Healthcare Facility 199,Morena,Clinic,341
F00200,Healthcare Facility 200,Agra,Diagnostic Center,117
F00201,Healthcare Facility 201,Delhi,Clinic,79
F00202,Healthcare Facility 202,Bhopal,Hospital,249
F00203,Healthcare Facility 203,Delhi,Specialty Center,403
F00204,Healthcare Facility 204,Bhopal,Specialty Center,150
F00205,Healthcare Facility 205,Indore,Diagnostic Center,404
F00206,Healthcare Facility 206,Morena,Clinic,178
F00207,Healthcare Facility 207,Morena,Hospital,331
F00208,Healthcare Facility 208,Bhopal,Clinic,490
F00209,Healthcare Facility 209,Agra,Diagnostic Center,103
F00210,Healthcare Facility 210,Agra,Clinic,227
F00211,Healthcare Facility 211,Agra,Hospital,193
F00212,Healthcare Facility 212,Gwalior,Diagnostic Center,307
F00213,Healthcare Facility 213,Jaipur,Hospital,100
F00214,Healthcare Facility 214,Jaipur,Diagnostic Center,37
F00215,Healthcare Facility 215,Jaipur,Specialty Center,215
F00216,Healthcare Facility 216,Agra,Clinic,310
F00217,Healthcare Facility 217,Morena,Hospital,379
F00218,Healthcare Facility 218,Indore,Hospital,375
F00219,Healthcare Facility 219,Gwalior,Clinic,298
F00220,Healthcare Facility 220,Jhansi,Hospital,482
F00221,Healthcare Facility 221,Jhansi,Hospital,416
F00222,Healthcare Facility 222,Agra,Hospital,481
F00223,Healthcare Facility 223,Morena,Specialty Center,273
F00224,Healthcare Facility 224,Gwalior,Hospital,161
F00225,Healthcare Facility 225,Morena,Specialty Center,184
F00226,Healthcare Facility 226,Bhopal,Clinic,24
F00227,Healthcare Facility 227,Morena,Specialty Center,270
F00228,Healthcare Facility 228,Gwalior,Hospital,169
F00229,Healthcare Facility 229,Agra,Hospital,47
F00230,Healthcare Facility 230,Jaipur,Hospital,256
F00231,Healthcare Facility 231,Gwalior,Specialty Center,151
F00232,Healthcare Facility 232,Agra,Diagnostic Center,325
F00233,Healthcare Facility 233,Agra,Diagnostic Center,377
F00234,Healthcare Facility 234,Indore,Clinic,304
F00235,Healthcare Facility 235,Delhi,Clinic,312
F00236,Healthcare Facility 236,Jhansi,Clinic,182
F00237,Healthcare Facility 237,Indore,Hospital,423
F00238,Healthcare Facility 238,Bhopal,Diagnostic Center,438
F00239,Healthcare Facility 239,Delhi,Diagnostic Center,246
F00240,Healthcare Facility 240,Jaipur,Clinic,487
F00241,Healthcare Facility 241,Gwalior,Diagnostic Center,149
F00242,Healthcare Facility 242,Delhi,Clinic,391
F00243,Healthcare Facility 243,Jaipur,Hospital,77
F00244,Healthcare Facility 244,Agra,Diagnostic Center,165
F00245,Healthcare Facility 245,Gwalior,Hospital,497
F00246,Healthcare Facility 246,Delhi,Hospital,381
F00247,Healthcare Facility 247,Morena,Diagnostic Center,331
F00248,Healthcare Facility 248,Jaipur,Specialty Center,141
F00249,Healthcare Facility 249,Jaipur,Clinic,211
F00250,Healthcare Facility 250,Bhopal,Diagnostic Center,264
F00251,Healthcare Facility 251,Jhansi,Hospital,496
F00252,Healthcare Facility 252,Morena,Clinic,122
F00253,Healthcare Facility 253,Gwalior,Hospital,398
F00254,Healthcare Facility 254,Delhi,Clinic,455
F00255,Healthcare Facility 255,Agra,Diagnostic Center,269
F00256,Healthcare Facility 256,Delhi,Hospital,41
F00257,Healthcare Facility 257,Jhansi,Clinic,496
F00258,Healthcare Facility 258,Indore,Clinic,79
F00259,Healthcare Facility 259,Jhansi,Diagnostic Center,257
F00260,Healthcare Facility 260,Gwalior,Clinic,413
F00261,Healthcare Facility 261,Gwalior,Clinic,359
F00262,Healthcare Facility 262,Gwalior,Hospital,403
F00263,Healthcare Facility 263,Gwalior,Diagnostic Center,355
F00264,Healthcare Facility 264,Indore,Diagnostic Center,153
F00265,Healthcare Facility 265,Jaipur,Hospital,356
F00266,Healthcare Facility 266,Delhi,Specialty Center,281
F00267,Healthcare Facility 267,Morena,Hospital,361
F00268,Healthcare Facility 268,Agra,Hospital,357
F00269,Healthcare Facility 269,Agra,Specialty Center,499
F00270,Healthcare Facility 270,Bhopal,Clinic,431
F00271,Healthcare Facility 271,Jaipur,Diagnostic Center,61
F00272,Healthcare Facility 272,Gwalior,Diagnostic Center,93
F00273,Healthcare Facility 273,Jhansi,Specialty Center,316
F00274,Healthcare Facility 274,Gwalior,Diagnostic Center,338
F00275,Healthcare Facility 275,Gwalior,Specialty Center,41
F00276,Healthcare Facility 276,Jhansi,Clinic,239
F00277,Healthcare Facility 277,Jaipur,Specialty Center,98
F00278,Healthcare Facility 278,Morena,Diagnostic Center,254
F00279,Healthcare Facility 279,Gwalior,Diagnostic Center,176
F00280,Healthcare Facility 280,Bhopal,Specialty Center,346
F00281,Healthcare Facility 281,Bhopal,Diagnostic Center,133
F00282,Healthcare Facility 282,Morena,Specialty Center,309
F00283,Healthcare Facility 283,Jaipur,Diagnostic Center,115
F00284,Healthcare Facility 284,Gwalior,Hospital,149
F00285,Healthcare Facility 285,Indore,Clinic,429
F00286,Healthcare Facility 286,Delhi,Diagnostic Center,128
F00287,Healthcare Facility 287,Delhi,Diagnostic Center,94
F00288,Healthcare Facility 288,Agra,Diagnostic Center,492
F00289,Healthcare Facility 289,Morena,Specialty Center,294
F00290,Healthcare Facility 290,Delhi,Diagnostic Center,400
F00291,Healthcare Facility 291,Agra,Specialty Center,39
F00292,Healthcare Facility 292,Bhopal,Diagnostic Center,180
F00293,Healthcare Facility 293,Agra,Hospital,228
F00294,Healthcare Facility 294,Gwalior,Hospital,391
F00295,Healthcare Facility 295,Gwalior,Clinic,113
F00296,Healthcare Facility 296,Bhopal,Specialty Center,101
F00297,Healthcare Facility 297,Morena,Clinic,371
F00298,Healthcare Facility 298,Jaipur,Diagnostic Center,123
F00299,Healthcare Facility 299,Jhansi,Diagnostic Center,256
F00300,Healthcare Facility 300,Jhansi,Hospital,279
F00301,Healthcare Facility 301,Gwalior,Clinic,179
F00302,Healthcare Facility 302,Jhansi,Diagnostic Center,422
F00303,Healthcare Facility 303,Gwalior,Diagnostic Center,406
F00304,Healthcare Facility 304,Agra,Specialty Center,367
F00305,Healthcare Facility 305,Agra,Diagnostic Center,80
F00306,Healthcare Facility 306,Agra,Clinic,57
F00307,Healthcare Facility 307,Delhi,Hospital,137
F00308,Healthcare Facility 308,Indore,Hospital,409
F00309,Healthcare Facility 309,Bhopal,Diagnostic Center,331
F00310,Healthcare Facility 310,Morena,Diagnostic Center,187
F00311,Healthcare Facility 311,Agra,Diagnostic Center,396
F00312,Healthcare Facility 312,Morena,Specialty Center,356
F00313,Healthcare Facility 313,Indore,Diagnostic Center,381
F00314,Healthcare Facility 314,Agra,Diagnostic Center,395
F00315,Healthcare Facility 315,Gwalior,Specialty Center,88
F00316,Healthcare Facility 316,Indore,Clinic,102
F00317,Healthcare Facility 317,Morena,Specialty Center,254
F00318,Healthcare Facility 318,Delhi,Hospital,61
F00319,Healthcare Facility 319,Agra,Specialty Center,118
F00320,Healthcare Facility 320,Jaipur,Specialty Center,489
F00321,Healthcare Facility 321,Bhopal,Clinic,491
F00322,Healthcare Facility 322,Gwalior,Clinic,477
F00323,Healthcare Facility 323,Indore,Diagnostic Center,149
F00324,Healthcare Facility 324,Indore,Specialty Center,47
F00325,Healthcare Facility 325,Agra,Clinic,252
F00326,Healthcare Facility 326,Indore,Hospital,248
F00327,Healthcare Facility 327,Morena,Diagnostic Center,136
F00328,Healthcare Facility 328,Jhansi,Specialty Center,420
F00329,Healthcare Facility 329,Agra,Hospital,345
F00330,Healthcare Facility 330,Gwalior,Clinic,126
F00331,Healthcare Facility 331,Bhopal,Diagnostic Center,398
F00332,Healthcare Facility 332,Bhopal,Hospital,344
F00333,Healthcare Facility 333,Bhopal,Specialty Center,314
F00334,Healthcare Facility 334,Jaipur,Hospital,410
F00335,Healthcare Facility 335,Jhansi,Diagnostic Center,179
F00336,Healthcare Facility 336,Gwalior,Specialty Center,23
F00337,Healthcare Facility 337,Jaipur,Specialty Center,168
F00338,Healthcare Facility 338,Jaipur,Hospital,253
F00339,Healthcare Facility 339,Indore,Diagnostic Center,273
F00340,Healthcare Facility 340,Agra,Specialty Center,435
F00341,Healthcare Facility 341,Gwalior,Diagnostic Center,267
F00342,Healthcare Facility 342,Gwalior,Clinic,357
F00343,Healthcare Facility 343,Indore,Hospital,372
F00344,Healthcare Facility 344,Agra,Diagnostic Center,417
F00345,Healthcare Facility 345,Delhi,Clinic,89
F00346,Healthcare Facility 346,Jaipur,Clinic,222
F00347,Healthcare Facility 347,Bhopal,Diagnostic Center,321
F00348,Healthcare Facility 348,Jhansi,Diagnostic Center,167
F00349,Healthcare Facility 349,Morena,Hospital,240
F00350,Healthcare Facility 350,Jhansi,Hospital,205
F00351,Healthcare Facility 351,Jaipur,Specialty Center,374
F00352,Healthcare Facility 352,Morena,Hospital,355
F00353,Healthcare Facility 353,Agra,Diagnostic Center,67
F00354,Healthcare Facility 354,Jhansi,Specialty Center,282
F00355,Healthcare Facility 355,Morena,Clinic,315
F00356,Healthcare Facility 356,Delhi,Clinic,334
F00357,Healthcare Facility 357,Gwalior,Diagnostic Center,311
F00358,Healthcare Facility 358,Bhopal,Specialty Center,191
F00359,Healthcare Facility 359,Morena,Specialty Center,383
F00360,Healthcare Facility 360,Morena,Hospital,50
F00361,Healthcare Facility 361,Jhansi,Clinic,189
F00362,Healthcare Facility 362,Agra,Clinic,63
F00363,Healthcare Facility 363,Agra,Hospital,446
F00364,Healthcare Facility 364,Indore,Clinic,62
F00365,Healthcare Facility 365,Gwalior,Hospital,450
F00366,Healthcare Facility 366,Bhopal,Clinic,153
F00367,Healthcare Facility 367,Indore,Clinic,368
F00368,Healthcare Facility 368,Indore,Clinic,238
F00369,Healthcare Facility 369,Morena,Hospital,469
F00370,Healthcare Facility 370,Gwalior,Clinic,105
F00371,Healthcare Facility 371,Jhansi,Clinic,270
F00372,Healthcare Facility 372,Jhansi,Specialty Center,284
F00373,Healthcare Facility 373,Jhansi,Clinic,30
F00374,Healthcare Facility 374,Bhopal,Diagnostic Center,99
F00375,Healthcare Facility 375,Gwalior,Clinic,128
F00376,Healthcare Facility 376,Morena,Clinic,480
F00377,Healthcare Facility 377,Jhansi,Specialty Center,137
F00378,Healthcare Facility 378,Agra,Specialty Center,271
F00379,Healthcare Facility 379,Agra,Hospital,37
F00380,Healthcare Facility 380,Agra,Hospital,275
F00381,Healthcare Facility 381,Delhi,Diagnostic Center,264
F00382,Healthcare Facility 382,Gwalior,Specialty Center,172
F00383,Healthcare Facility 383,Jhansi,Hospital,116
F00384,Healthcare Facility 384,Morena,Hospital,477
F00385,Healthcare Facility 385,Gwalior,Hospital,205
F00386,Healthcare Facility 386,Agra,Specialty Center,49
F00387,Healthcare Facility 387,Jaipur,Specialty Center,134
F00388,Healthcare Facility 388,Jaipur,Diagnostic Center,260
F00389,Healthcare Facility 389,Jhansi,Specialty Center,276
F00390,Healthcare Facility 390,Gwalior,Specialty Center,466
F00391,Healthcare Facility 391,Jhansi,Specialty Center,372
F00392,Healthcare Facility 392,Bhopal,Diagnostic Center,132
F00393,Healthcare Facility 393,Jaipur,Clinic,354
F00394,Healthcare Facility 394,Jaipur,Clinic,48
F00395,Healthcare Facility 395,Gwalior,Hospital,341
F00396,Healthcare Facility 396,Indore,Clinic,478
F00397,Healthcare Facility 397,Delhi,Clinic,456
F00398,Healthcare Facility 398,Delhi,Diagnostic Center,245
F00399,Healthcare Facility 399,Agra,Diagnostic Center,263
F00400,Healthcare Facility 400,Jhansi,Clinic,380
F00401,Healthcare Facility 401,Morena,Clinic,38
F00402,Healthcare Facility 402,Indore,Clinic,341
F00403,Healthcare Facility 403,Jhansi,Hospital,131
F00404,Healthcare Facility 404,Bhopal,Diagnostic Center,231
F00405,Healthcare Facility 405,Jhansi,Clinic,252
F00406,Healthcare Facility 406,Indore,Specialty Center,455
F00407,Healthcare Facility 407,Jhansi,Clinic,178
F00408,Healthcare Facility 408,Morena,Specialty Center,79
F00409,Healthcare Facility 409,Morena,Hospital,392
F00410,Healthcare Facility 410,Bhopal,Specialty Center,343
F00411,Healthcare Facility 411,Delhi,Diagnostic Center,112
F00412,Healthcare Facility 412,Indore,Hospital,267
F00413,Healthcare Facility 413,Jhansi,Hospital,177
F00414,Healthcare Facility 414,Jaipur,Clinic,160
F00415,Healthcare Facility 415,Agra,Hospital,418
F00416,Healthcare Facility 416,Gwalior,Hospital,423
F00417,Healthcare Facility 417,Delhi,Specialty Center,437
F00418,Healthcare Facility 418,Agra,Clinic,239
F00419,Healthcare Facility 419,Jaipur,Diagnostic Center,423
F00420,Healthcare Facility 420,Delhi,Clinic,325
F00421,Healthcare Facility 421,Indore,Diagnostic Center,108
F00422,Healthcare Facility 422,Bhopal,Specialty Center,174
F00423,Healthcare Facility 423,Morena,Hospital,433
F00424,Healthcare Facility 424,Bhopal,Hospital,459
F00425,Healthcare Facility 425,Jaipur,Clinic,252
F00426,Healthcare Facility 426,Gwalior,Clinic,487
F00427,Healthcare Facility 427,Jhansi,Clinic,212
F00428,Healthcare Facility 428,Bhopal,Hospital,118
F00429,Healthcare Facility 429,Jaipur,Hospital,458
F00430,Healthcare Facility 430,Morena,Specialty Center,132
F00431,Healthcare Facility 431,Delhi,Diagnostic Center,126
F00432,Healthcare Facility 432,Agra,Clinic,43
F00433,Healthcare Facility 433,Jaipur,Hospital,300
F00434,Healthcare Facility 434,Jaipur,Diagnostic Center,456
F00435,Healthcare Facility 435,Indore,Clinic,223
F00436,Healthcare Facility 436,Gwalior,Clinic,30
F00437,Healthcare Facility 437,Delhi,Diagnostic Center,369
F00438,Healthcare Facility 438,Jaipur,Diagnostic Center,335
F00439,Healthcare Facility 439,Jaipur,Diagnostic Center,224
F00440,Healthcare Facility 440,Agra,Hospital,450
F00441,Healthcare Facility 441,Jhansi,Specialty Center,428
F00442,Healthcare Facility 442,Morena,Clinic,44
F00443,Healthcare Facility 443,Bhopal,Clinic,420
F00444,Healthcare Facility 444,Indore,Diagnostic Center,159
F00445,Healthcare Facility 445,Delhi,Hospital,142
F00446,Healthcare Facility 446,Agra,Diagnostic Center,455
F00447,Healthcare Facility 447,Agra,Hospital,30
F00448,Healthcare Facility 448,Bhopal,Specialty Center,285
F00449,Healthcare Facility 449,Delhi,Clinic,100
F00450,Healthcare Facility 450,Delhi,Clinic,463
F00451,Healthcare Facility 451,Indore,Hospital,329
F00452,Healthcare Facility 452,Morena,Specialty Center,128
F00453,Healthcare Facility 453,Delhi,Specialty Center,227
F00454,Healthcare Facility 454,Indore,Clinic,338
F00455,Healthcare Facility 455,Jaipur,Clinic,263
F00456,Healthcare Facility 456,Bhopal,Diagnostic Center,295
F00457,Healthcare Facility 457,Delhi,Hospital,280
F00458,Healthcare Facility 458,Jhansi,Clinic,316
F00459,Healthcare Facility 459,Jhansi,Specialty Center,393
F00460,Healthcare Facility 460,Morena,Specialty Center,82
F00461,Healthcare Facility 461,Agra,Clinic,203
F00462,Healthcare Facility 462,Jaipur,Specialty Center,51
F00463,Healthcare Facility 463,Delhi,Hospital,302
F00464,Healthcare Facility 464,Bhopal,Specialty Center,343
F00465,Healthcare Facility 465,Delhi,Specialty Center,380
F00466,Healthcare Facility 466,Indore,Clinic,451
F00467,Healthcare Facility 467,Gwalior,Hospital,26
F00468,Healthcare Facility 468,Jhansi,Hospital,193
F00469,Healthcare Facility 469,Morena,Diagnostic Center,481
F00470,Healthcare Facility 470,Agra,Hospital,378
F00471,Healthcare Facility 471,Gwalior,Diagnostic Center,491
F00472,Healthcare Facility 472,Bhopal,Clinic,387
F00473,Healthcare Facility 473,Delhi,Specialty Center,165
F00474,Healthcare Facility 474,Morena,Hospital,271
F00475,Healthcare Facility 475,Jaipur,Diagnostic Center,185
F00476,Healthcare Facility 476,Indore,Hospital,122
F00477,Healthcare Facility 477,Indore,Clinic,212
F00478,Healthcare Facility 478,Delhi,Diagnostic Center,36
F00479,Healthcare Facility 479,Jhansi,Diagnostic Center,109
F00480,Healthcare Facility 480,Delhi,Diagnostic Center,390
F00481,Healthcare Facility 481,Delhi,Clinic,105
F00482,Healthcare Facility 482,Jaipur,Diagnostic Center,122
F00483,Healthcare Facility 483,Delhi,Specialty Center,101
F00484,Healthcare Facility 484,Morena,Clinic,145
F00485,Healthcare Facility 485,Jaipur,Specialty Center,57
F00486,Healthcare Facility 486,Jaipur,Specialty Center,367
F00487,Healthcare Facility 487,Jhansi,Clinic,232
F00488,Healthcare Facility 488,Gwalior,Hospital,338
F00489,Healthcare Facility 489,Bhopal,Specialty Center,244
