bed_id,facility_id,department,bed_type,status
B00302,F01860,Cardiology,Private,Maintenance
B00303,F00338,Dermatology,ICU,Available
B00304,F00908,Neurology,Private,Occupied
B00305,F00818,Neurology,General,Occupied
B00306,F01301,Dermatology,ICU,Occupied
B00307,F01034,Emergency,Private,Occupied
B00308,F01365,General Medicine,Private,Available
B00309,F01128,Oncology,Private,Occupied
B00310,F00345,Orthopedics,Private,Available
B00311,F01394,Neurology,General,Occupied
B00312,F00977,Oncology,Emergency,Occupied
B00313,F00883,Dermatology,ICU,Occupied
B00314,F00198,Oncology,Private,Available
B00315,F01038,Dermatology,General,Occupied
B00316,F01704,Pediatrics,Emergency,Occupied
B00317,F00872,Cardiology,General,Available
B00318,F01362,Orthopedics,Private,Available
B00319,F00542,Cardiology,Emergency,Occupied
B00320,F00457,Pediatrics,ICU,Occupied
B00321,F01550,Neurology,ICU,Occupied
B00322,F00750,Cardiology,General,Available
B00323,F01460,Emergency,ICU,Occupied
B00324,F00366,Cardiology,ICU,Available
B00325,F00401,Cardiology,Emergency,Occupied
B00326,F00574,Oncology,ICU,Occupied
B00327,F00482,Dermatology,Emergency,Occupied
B00328,F00110,Pediatrics,Emergency,Available
B00329,F01019,Dermatology,Emergency,Occupied
B00330,F00406,Orthopedics,ICU,Maintenance
B00331,F00309,Oncology,General,Occupied
B00332,F00160,Dermatology,General,Occupied
B00333,F00844,Orthopedics,ICU,Occupied
B00334,F00055,Pediatrics,Emergency,Occupied
B00335,F00761,Oncology,ICU,Occupied
B00336,F02000,Dermatology,Private,Occupied
B00337,F00256,Cardiology,General,Occupied
B00338,F00534,Oncology,Emergency,Occupied
B00339,F00422,Cardiology,ICU,Occupied
B00340,F00946,General Medicine,Emergency,Available
B00341,F01639,Oncology,Private,Occupied
B00342,F00962,Emergency,Emergency,Occupied
B00343,F00813,Neurology,Private,Occupied
B00344,F00887,Neurology,General,Available
B00345,F00264,Orthopedics,Emergency,Available
B00346,F00748,Pediatrics,ICU,Occupied
B00347,F00833,Oncology,Emergency,Available
B00348,F00233,Cardiology,Emergency,Occupied
B00349,F00680,Dermatology,Private,Occupied
B00350,F00233,Emergency,Private,Occupied
B00351,F01541,Neurology,ICU,Occupied
B00352,F01069,Pediatrics,General,Available
B00353,F00558,Pediatrics,General,Occupied
B00354,F01700,Oncology,Private,Available
B00355,F00913,Cardiology,ICU,Occupied
B00356,F00681,Oncology,Emergency,Occupied
B00357,F01950,Oncology,ICU,Occupied
B00358,F01460,Emergency,ICU,Occupied
B00359,F00335,Pediatrics,ICU,Maintenance
B00360,F00404,Neurology,General,Occupied
B00361,F01188,General Medicine,Emergency,Occupied
B00362,F00256,Neurology,ICU,Available
B00363,F01090,Emergency,General,Occupied
B00364,F01020,General Medicine,General,Occupied
B00365,F00941,Dermatology,Private,Occupied
B00366,F00772,Dermatology,Emergency,Available
B00367,F00946,Pediatrics,ICU,Available
B00368,F01112,Neurology,Emergency,Available
B00369,F01264,Cardiology,Private,Available
B00370,F00311,Emergency,Private,Available
B00371,F01595,Pediatrics,ICU,Available
B00372,F00682,Cardiology,General,Occupied
B00373,F01282,General Medicine,Private,Occupied
B00374,F01582,Dermatology,General,Occupied
B00375,F01538,Orthopedics,Private,Available
B00376,F01458,Orthopedics,Emergency,Available
B00377,F00129,General Medicine,ICU,Occupied
B00378,F00781,Orthopedics,Private,Occupied
B00379,F00326,Oncology,Emergency,Occupied
B00380,F00790,Emergency,Private,Available
B00381,F00017,Oncology,ICU,Occupied
B00382,F00699,Pediatrics,Emergency,Available
B00383,F01009,Pediatrics,General,Occupied
B00384,F00342,Emergency,Private,Occupied
B00385,F01003,Neurology,Private,Occupied
B00386,F00838,Pediatrics,Emergency,Available
B00387,F00628,Dermatology,ICU,Occupied
B00388,F00771,Orthopedics,Private,Occupied
B00389,F00878,Dermatology,Emergency,Occupied
B00390,F01273,Emergency,ICU,Available
B00391,F00710,Cardiology,Private,Occupied
B00392,F00849,Oncology,Emergency,Occupied
B00393,F00739,Neurology,ICU,Available
B00394,F00177,Cardiology,Private,Occupied
B00395,F01779,Dermatology,Private,Available
B00396,F00946,Orthopedics,ICU,Occupied
B00397,F00357,Dermatology,ICU,Occupied
B00398,F00495,Cardiology,Emergency,Available
B00399,F00035,Orthopedics,Private,Available
B00400,F01431,Pediatrics,Private,Occupied
B00401,F01992,Neurology,Emergency,Occupied
B00402,F01671,General Medicine,Private,Occupied
B00403,F00818,Orthopedics,Private,Occupied
B00404,F00010,Emergency,Private,Occupied
B00405,F00986,Emergency,General,Occupied
B00406,F01719,Pediatrics,ICU,Available
B00407,F01738,Emergency,General,Occupied
B00408,F00531,Cardiology,General,Occupied
B00409,F01559,Pediatrics,ICU,Available
B00410,F00095,Emergency,General,Available
B00411,F00576,Cardiology,Emergency,Occupied
B00412,F01953,Cardiology,General,Occupied
B00413,F00450,Cardiology,Emergency,Available
B00414,F01244,Emergency,ICU,Available
B00415,F01018,Oncology,Private,Occupied
B00416,F00096,Cardiology,ICU,Occupied
B00417,F00865,Dermatology,ICU,Available
B00418,F01801,Neurology,General,Occupied
B00419,F01405,Emergency,ICU,Maintenance
B00420,F00669,Cardiology,ICU,Occupied
B00421,F00207,Neurology,Emergency,Occupied
B00422,F01810,Dermatology,Private,Occupied
B00423,F00850,General Medicine,General,Occupied
B00424,F00246,Neurology,Private,Occupied
B00425,F01735,Emergency,Private,Available
B00426,F01998,Emergency,Private,Available
B00427,F01821,Cardiology,General,Occupied
B00428,F01534,Dermatology,ICU,Available
B00429,F00884,Oncology,Private,Occupied
B00430,F00083,Dermatology,General,Occupied
B00431,F00317,Dermatology,ICU,Available
B00432,F00645,Emergency,Private,Occupied
B00433,F01129,General Medicine,Emergency,Occupied
B00434,F00370,Dermatology,General,Occupied
B00435,F00749,Oncology,Private,Available
B00436,F01605,Pediatrics,General,Occupied
B00437,F01720,Neurology,Emergency,Occupied
B00438,F00630,Pediatrics,General,Occupied
B00439,F00180,General Medicine,ICU,Occupied
B00440,F01807,Neurology,Private,Available
B00441,F00602,Cardiology,General,Occupied
B00442,F00600,Neurology,General,Occupied
B00443,F01107,Cardiology,Private,Occupied
B00444,F01556,Orthopedics,Emergency,Occupied
B00445,F01643,Neurology,Emergency,Available
B00446,F00841,Oncology,Private,Occupied
B00447,F01525,Neurology,Private,Occupied
B00448,F00348,Oncology,ICU,Maintenance
B00449,F01296,Pediatrics,General,Occupied
B00450,F00331,Pediatrics,General,Occupied
B00451,F00610,General Medicine,Emergency,Available
B00452,F01945,Cardiology,ICU,Occupied
B00453,F00744,Emergency,General,Maintenance
B00454,F01911,Pediatrics,ICU,Available
B00455,F00569,Oncology,Private,Available
B00456,F01685,Oncology,General,Occupied
B00457,F00389,Dermatology,Private,Occupied
B00458,F00971,General Medicine,Emergency,Available
B00459,F00747,Cardiology,Emergency,Available
B00460,F00137,Oncology,Private,Available
B00461,F01803,Cardiology,Emergency,Available
B00462,F01765,Cardiology,Private,Available
B00463,F01385,Orthopedics,Private,Occupied
B00464,F01857,Cardiology,Private,Occupied
B00465,F01983,Oncology,Emergency,Occupied
B00466,F00282,Oncology,Emergency,Occupied
B00467,F01226,General Medicine,Emergency,Occupied
B00468,F01019,Cardiology,Private,Occupied
B00469,F00744,Oncology,ICU,Occupied
B00470,F00531,Emergency,Emergency,Maintenance
B00471,F00016,Emergency,ICU,Occupied
B00472,F01005,Oncology,Emergency,Occupied
B00473,F00568,Cardiology,General,Available
B00474,F01893,General Medicine,General,Available
B00475,F01138,Neurology,General,Occupied
B00476,F01092,Cardiology,ICU,Occupied
B00477,F01614,General Medicine,Emergency,Occupied
B00478,F00030,Pediatrics,Private,Occupied
B00479,F01543,General Medicine,ICU,Occupied
B00480,F01932,Orthopedics,Emergency,Available
B00481,F00664,Pediatrics,General,Available
B00482,F00999,Emergency,ICU,Available
B00483,F00875,Emergency,Emergency,Occupied
B00484,F00022,Neurology,Private,Occupied
B00485,F01455,Neurology,ICU,Occupied
B00486,F01054,General Medicine,Private,Occupied
B00487,F00956,General Medicine,ICU,Available
B00488,F01703,Cardiology,General,Available
B00489,F00660,Dermatology,General,Occupied
B00490,F01434,Dermatology,General,Maintenance
B00491,F01073,Cardiology,Private,Available
B00492,F00325,Emergency,General,Occupied
B00493,F01512,Orthopedics,Private,Occupied
B00494,F01322,Dermatology,Private,Occupied
B00495,F01798,Cardiology,Private,Occupied
B00496,F00181,Emergency,General,Occupied
B00497,F01826,General Medicine,Emergency,Occupied
B00498,F00122,Oncology,Private,Available
B00499,F00124,Dermatology,Emergency,Occupied
B00500,F01477,General Medicine,Private,Occupied
B00501,F00266,Cardiology,General,Available
B00502,F00028,Dermatology,General,Available
B00503,F01283,Orthopedics,General,Occupied
B00504,F00077,Emergency,ICU,Occupied
B00505,F00432,General Medicine,General,Available
B00506,F00879,Emergency,Emergency,Available
B00507,F01730,Orthopedics,Private,Maintenance
B00508,F00894,General Medicine,Emergency,Occupied
B00509,F01059,Emergency,ICU,Available
B00510,F00436,Oncology,Emergency,Occupied
B00511,F01138,Orthopedics,Private,Available
B00512,F01086,Orthopedics,Private,Occupied
B00513,F00052,Orthopedics,General,Occupied
B00514,F00116,Cardiology,ICU,Occupied
B00515,F00047,Neurology,ICU,Occupied
B00516,F00438,Emergency,Emergency,Occupied
B00517,F01436,Orthopedics,General,Occupied
B00518,F00101,Emergency,General,Occupied
B00519,F01303,Orthopedics,General,Occupied
B00520,F00107,Emergency,Private,Available
B00521,F00983,General Medicine,ICU,Occupied
B00522,F01059,Emergency,Emergency,Available
B00523,F01001,Dermatology,Emergency,Available
B00524,F00359,Neurology,Emergency,Occupied
B00525,F00887,General Medicine,General,Occupied
B00526,F00800,Oncology,ICU,Available
B00527,F01026,General Medicine,ICU,Occupied
B00528,F01775,Orthopedics,Private,Occupied
B00529,F01516,Pediatrics,Private,Occupied
B00530,F01904,Dermatology,Private,Occupied
B00531,F01914,Oncology,Emergency,Occupied
B00532,F01296,Neurology,Emergency,Maintenance
B00533,F01168,General Medicine,ICU,Available
B00534,F00435,Pediatrics,Private,Available
B00535,F01475,Pediatrics,Emergency,Occupied
B00536,F00604,General Medicine,Private,Maintenance
B00537,F01757,Orthopedics,Private,Available
B00538,F00566,Cardiology,ICU,Available
B00539,F00916,General Medicine,ICU,Occupied
B00540,F00228,Orthopedics,Emergency,Occupied
B00541,F00545,Neurology,ICU,Available
B00542,F01238,Orthopedics,Private,Occupied
B00543,F00648,Pediatrics,ICU,Maintenance
B00544,F00248,Dermatology,Private,Occupied
B00545,F01432,Dermatology,Private,Maintenance
B00546,F01077,Neurology,Emergency,Occupied
B00547,F01600,Oncology,Emergency,Occupied
B00548,F00314,Dermatology,Emergency,Occupied
B00549,F01398,Neurology,Private,Available
B00550,F00037,Cardiology,ICU,Available
B00551,F00724,Oncology,Emergency,Occupied
B00552,F01548,Cardiology,Emergency,Occupied
B00553,F00980,General Medicine,ICU,Occupied
B00554,F00084,Dermatology,ICU,Occupied
B00555,F00900,Orthopedics,Emergency,Available
B00556,F01118,General Medicine,Private,Occupied
B00557,F01439,Cardiology,Private,Occupied
B00558,F01366,Pediatrics,Emergency,Maintenance
B00559,F00719,Cardiology,ICU,Occupied
B00560,F00550,Orthopedics,Private,Occupied
B00561,F01445,Oncology,ICU,Occupied
B00562,F01372,Oncology,General,Occupied
B00563,F00715,Pediatrics,ICU,Occupied
B00564,F01806,Dermatology,ICU,Occupied
B00565,F00587,General Medicine,General,Occupied
B00566,F01152,General Medicine,Private,Available
B00567,F01865,Cardiology,Private,Available
B00568,F00152,Cardiology,Private,Available
B00569,F01546,Oncology,Emergency,Occupied
B00570,F01062,Dermatology,General,Occupied
B00571,F01451,Emergency,ICU,Occupied
B00572,F01129,Oncology,General,Available
B00573,F00165,General Medicine,General,Occupied
B00574,F00938,Dermatology,General,Occupied
B00575,F01568,General Medicine,General,Occupied
B00576,F00212,Neurology,General,Occupied
B00577,F00526,Orthopedics,General,Occupied
B00578,F00742,Neurology,Emergency,Occupied
B00579,F00132,Neurology,General,Available
B00580,F01176,General Medicine,General,Occupied
B00581,F00096,Emergency,Private,Occupied
B00582,F01527,Oncology,General,Available
B00583,F01013,Oncology,General,Occupied
B00584,F00522,Dermatology,Private,Occupied
B00585,F00374,Dermatology,Private,Occupied
B00586,F01899,Orthopedics,Private,Occupied
B00587,F01040,General Medicine,ICU,Available
B00588,F01703,Neurology,General,Occupied
B00589,F00608,Neurology,General,Occupied
B00590,F00018,Dermatology,General,Occupied
B00591,F01433,Dermatology,Private,Available
B00592,F01031,General Medicine,Emergency,Occupied
B00593,F01720,Cardiology,General,Available
B00594,F01918,Cardiology,Private,Available
B00595,F01269,General Medicine,Private,Occupied
B00596,F01967,Pediatrics,Private,Occupied
B00597,F01907,Pediatrics,ICU,Occupied
B00598,F00978,Cardiology,Private,Occupied
B00599,F00879,Orthopedics,Emergency,Occupied
B00600,F00594,Emergency,ICU,Occupied
B00601,F00643,Neurology,Private,Occupied
B00602,F00129,Dermatology,Emergency,Available
B00603,F00801,Orthopedics,Emergency,Available
B00604,F00455,Dermatology,General,Available
B00605,F01610,Cardiology,Private,Occupied
B00606,F00876,Oncology,Private,Maintenance
B00607,F00571,General Medicine,General,Occupied
B00608,F01096,Pediatrics,Emergency,Occupied
B00609,F01014,Cardiology,Private,Occupied
B00610,F01184,Orthopedics,General,Occupied
B00611,F01111,Orthopedics,General,Occupied
B00612,F00401,Emergency,Emergency,Available
B00613,F00462,Dermatology,Emergency,Occupied
B00614,F01553,Cardiology,Private,Occupied
B00615,F00089,Neurology,Private,Occupied
B00616,F01685,Orthopedics,ICU,Available
B00617,F00823,Neurology,Emergency,Available
B00618,F00006,Neurology,ICU,Available
B00619,F01620,Dermatology,ICU,Occupied
B00620,F00945,General Medicine,General,Available
B00621,F00084,Cardiology,General,Occupied
B00622,F01274,Cardiology,Private,Maintenance
B00623,F01690,Neurology,Emergency,Available
B00624,F01440,General Medicine,Emergency,Occupied
B00625,F01096,Oncology,ICU,Available
B00626,F00621,Orthopedics,ICU,Occupied
B00627,F01136,Orthopedics,Private,Occupied
B00628,F00172,Cardiology,General,Available
B00629,F00699,Dermatology,Emergency,Occupied
B00630,F01821,Dermatology,Emergency,Available
B00631,F00273,Neurology,Emergency,Occupied
B00632,F00530,General Medicine,Emergency,Available
B00633,F01704,General Medicine,General,Available
B00634,F00319,Orthopedics,Private,Available
B00635,F01106,Orthopedics,Private,Occupied
B00636,F01099,Dermatology,General,Occupied
B00637,F00429,Pediatrics,Private,Available
B00638,F01484,Pediatrics,Private,Occupied
B00639,F00847,Neurology,ICU,Occupied
B00640,F01370,Pediatrics,General,Occupied
B00641,F00249,General Medicine,Private,Maintenance
B00642,F01667,Pediatrics,ICU,Available
B00643,F00387,Oncology,General,Occupied
